APPENDIX	B:	GLOBAL	POSITIONING	SYSTEM	DATA	
						
NORTH	TOE	STATION				
3D						
						
location	day	northing	easting	elevation	vector	
nt0216	1	4725370713	180437.222	977.895		
nt0217	2	4725370714	180437.222	977.915		
nt0218	3	4725370712	180437.22	977.87		
nt0219	4	4725370713	180437.221	977.909		
nt0220	5	4725370714	180437.22	977.901		
nt0221	6	4725370713	180437.22	977.891		
nt0222	7	4725370713	180437.22	977.89		
nt0223	8	4725370713	180437.22	977.908		
nt0224	9	4725370713	180437.219	977.907		
nt0225	10	4725370713	180437.218	977.913		
nt0226	11	4725370713	180437.218	977.912	0.0102	
nt0227	12	4725370712	180437.219	977.91	0.0106	
nt0228	13	4725370712	180437.219	977.907	0.0102	
nto301	14	4725369152	180437.568	975.849	0.012	
nto302	15	4725369152	180437.569	975.848	0.0123	
nto303	16	4725369152	180437.569	975.858	0.0125	
nto304	17	4725369152	180437.569	975.862	0.0134	
nto305	18	4725369152	180437.568	975.867	0.0135	
nto306	19	4725369152	180437.569	975.867	0.0133	
nto307	20	4725369151	180437.568	975.863	0.0135	
nto308	21	4725369152	180437.567	975.864	0.0134	
nto309	22	4725369151	180437.567	975.855	0.0132	
nto310	23	4725369152	180437.568	975.855	0.0132	
nto311	24	4725369152	180437.568	975.86	0.0134	
nto312	25	4725369151	180437.568	975.864	0.0137	
nto313	26	4725369153	180437.568	975.856	0.014	
nto314	27	4725369152	180437.567	975.86	0.014	
nto315	28	4725369153	180437.567	975.843	0.0139	
nto316	29	4725370837	180437.438	975.518	0.0131	
nto317	30	4725370835	180437.44	975.525	0.0127	
nto318	31	4725370835	180437.439	975.526	0.0123	
nto319	32	4725370835	180437.438	975.524	0.0118	
nto320	33	4725370836	180437.439	975.525	0.0119	
nto321	34	4725370836	180437.438	975.524	0.0117	
nto322	35	4725370835	180437.44	975.521	0.0111	
nto323	36	4725370835	180437.44	975.52	0.0104	
nto324	37	4725370835	180437.439	975.521	0.0102	
nto325	38	4725370835	180437.439	975.526	0.0099	
nto326	39	4725370835	180437.44	975.512	0.0099	
nto327	40	4725370835	180437.439	975.521	0.0098	
nto328	41	4725370835	180437.439	975.52	0.0093	
nto329	42	4725370835	180437.439	975.516	0.0088	
nto330	43	4725370835	180437.439	975.523	0.0085	
nto331	44	4725370835	180437.437	975.512	0.0083	
nto401	45	4725371132	180436.502	979.161	0.0081	
nto402	46	4725371132	180436.502	979.163	0.0079	
nto403	47	4725371132	180436.503	979.166	0.0076	
nto404	48	4725371132	180436.502	979.167	0.0073	
nto405	49	4725371132	180436.503	979.162	0.007	
nto406	50	4725371132	180436.503	979.166	0.0072	
nto407	51	4725371132	180436.502	979.163	0.0071	
nto408	52	4725371133	180436.502	979.164	0.007	
nto409	53	4725371132	180436.503	979.168	0.0069	
nto410	54	4725371132	180436.503	979.17	0.0066	
nto411	55	4725371131	180436.502	979.17	0.0066	
nto412	56	472537113	180436.504	979.167	0.0066	
nto413	57	472537113	180436.502	979.162	0.0068	
nto414	58	4725371131	180436.503	979.163	0.007	
nto415	59	472537113	180436.504	979.169	0.007	
nto422	66	4725371803	180437.688	976.585	0.0073	
nto423	67	4725371804	180437.687	976.585	0.0072	
nto424	68	4725371805	180437.686	976.582	0.0072	
nto425	69	4725371804	180437.688	976.579	0.0074	
nto426	70	4725371804	180437.688	976.581	0.0076	
nto427	71	4725371805	180437.688	976.582	0.0077	
nto428	72	4725371804	180437.688	976.579	0.0078	
nto429	73	4725371804	180437.687	976.586	0.0081	
nto430	74	4725371805	180437.687	976.588	0.0084	
nt0501	75	4725369390	180437.108	980.714	0.0088	
nt0502	76	4725369387	180437.107	980.717	0.0092	
nt0503	77	4725369387	180437.108	980.708	0.0094	
nt0504	78	4725369388	180437.107	980.71	0.0097
nt0505	79	4725369387	180437.107	980.716	0.0102	
nt0506	80	4725369387	180437.106	980.719	0.0106	
nt0507	81	4725369387	180437.106	980.717	0.0113	
nt0516	90	4725367047	180435.515	977.988	0.0116	
nt0517	91	4725367046	180435.515	977.993	0.012	
nt0518	92	4725367045	180435.515	977.986	0.0122	
nt0519	93	4725367046	180435.515	977.99	0.0127	
nt0520	94	4725367046	180435.515	977.997	0.0135	
nt0521	95	4725367047	180435.515	977.992	0.0138	
nt0523	97	4725367046	180435.515	977.994	0.0145	
nt0524	98	4725367047	180435.515	977.996	0.0152	
nt0525	99	4725367047	180435.516	977.993	0.0155	
nt0526	100	4725367046	180435.515	977.999	0.016	
nt0527	101	4725367047	180435.515	977.989	0.0163	
nt0528	102	4725367045	180435.516	977.991	0.0168	
nt0529	103	4725367047	180435.516	977.992	0.0169	
nt0530	104	4725367046	180435.516	978.003	0.0175	
nt0531	105	4725367045	180435.514	978.002	0.0179	
nto601	106	4725369238	180438.49	982.054	0.0181	
nto602	107	4725369237	180438.491	982.052	0.0185	
nto603	108	4725369237	180438.49	982.056	0.0189	
nto604	109	4725369237	180438.489	982.052	0.0192	
nto605	110	4725369238	180438.488	982.058	0.0195	
nto606	111	4725369237	180438.49	982.053	0.0196	
nto607	112	4725369238	180438.489	982.055	0.0205	
nto608	113	4725369237	180438.489	982.05	0.021	
nto609	114	4725369237	180438.489	982.057	0.0212	
nto610	115	4725369237	180438.489	982.053	0.0212	
nto611	116	4725369237	180438.488	982.057	0.0212	
nto612	117	4725369237	180438.489	982.056	0.0211	
nto613	118	4725369238	180438.487	982.058	0.0214	
nto614	119	4725369237	180438.488	982.057	0.0212	
nto615	120	4725369237	180438.488	982.055	0.0214	
nto616	121	4725371311	180438.47	981.987	0.0211	
nto617	122	4725371311	180438.472	981.997	0.0212	
nto618	123	4725371310	180438.47	981.986	0.0211	
nto619	124	4725371309	180438.47	981.983	0.0211	
nto620	125	4725371310	180438.471	981.987	0.0209
nto621	126	4725371311	180438.471	981.989	0.021	
nto622	127	4725371310	180438.47	981.983	0.0206	
nto623	128	4725371309	180438.472	981.989	0.0203	
nto624	129	4725371309	180438.471	981.981	0.0199	
nto625	130	4725371310	180438.47	981.986	0.0196	
nto626	131	4725371309	180438.47	981.982	0.0195	
nto627	132	4725371309	180438.47	981.985	0.0193	
nto628	133	4725371309	180438.472	981.983	0.0183	
nto629	134	4725371310	180438.47	981.98	0.0182	
nto701	135	4725370049	180437.457	984.723	0.0183	
nto702	136	4725370051	180437.458	984.726	0.0188	
nto703	137	4725370050	180437.454	984.716	0.0185	
nto705	139	4725370050	180437.457	984.719	0.0183	
nto706	140	4725370049	180437.458	984.72	0.0178	
nto707	141	4725370050	180437.457	984.718	0.018	
nto708	142	4725370049	180437.458	984.723	0.0176	
nto709	143	4725370049	180437.457	984.72	0.0175	
nto710	144	4725370050	180437.456	984.712	0.0173	
nto711	145	4725370051	180437.456	984.721	0.0173	
nto712	146	4725370048	180437.455	984.725	0.0173	
nto713	147	4725370048	180437.456	984.735	0.0172	
nto714	148	4725370050	180437.455	984.719	0.0171	
nto715	149	4725370048	180437.455	984.716	0.0171	
nto716	150	4725369698	180437.93	981.565	0.0172	
nto717	151	4725369698	180437.929	981.575	0.0171	
nto718	152	4725369698	180437.928	981.566	0.0172	
nto719	153	4725369698	180437.93	981.571	0.0174	
nto720	154	4725369698	180437.929	981.569	0.0175	
nto721	155	4725369699	180437.93	981.572	0.0179	
nto722	156	4725369699	180437.927	981.568	0.0181	
nto723	157	4725369699	180437.93	981.575	0.0176	
nto724	158	4725369699	180437.929	981.571	0.0173	
nto725	158	4725369698	180437.93	981.571	0.0173	
nto726	160	4725369700	180437.931	981.576	0.0174	
nto727	161	4725369698	180437.929	981.568	0.0179	
nto728	162	4725369699	180437.928	981.571	0.0178	
nto729	163	4725369697	180437.928	981.577	0.0183	
nto730	164	4725369699	180437.928	981.574	0.0185	
nto731	165	4725369699	180437.929	981.576	0.0188	
nto80103	166	4725371484	180437.329	976.504	0.0189	
nto80203	167	4725371486	180437.329	976.493	0.0189	
nto80303	168	4725371486	180437.328	976.506	0.0189	
nto80403	169	4725371484	180437.33	976.497	0.0195	
nto80503	170	4725371486	180437.329	976.502	0.0197	
nto80603	171	4725371485	180437.328	976.503	0.0197	
nto80703	172	4725371485	180437.328	976.501	0.0195	
nto80803	173	4725371484	180437.329	976.506	0.0195	
nto80903	174	4725371483	180437.328	976.502	0.019	
nto81003	175	4725371485	180437.328	976.504	0.019	
nto81103	176	4725371484	180437.329	976.5	0.0188	
nto81203	177	4725371484	180437.329	976.495	0.0183	
nto81303	178	4725371484	180437.328	976.5	0.0187	
nto81403	179	4725371485	180437.326	976.512	0.0187	
nto81503	180	4725371485	180437.328	976.503	0.0187	
nto81603	181	4725369963	180437.271	979.329	0.0188	
nto81703	182	4725369965	180437.271	979.321	0.0186	
nto81803	183	4725369964	180437.27	979.328	0.0186	
nto81903	184	4725369964	180437.271	979.321	0.0184	
nto82003	185	4725369964	180437.271	979.332	0.0182	
nto82103	186	4725369963	180437.27	979.324	0.0181	
nto82203	187	4725369964	180437.269	979.319	0.0182	
nto82303	188	4725369964	180437.269	979.333	0.0184	
nto82403	189	4725369965	180437.269	979.334	0.0183	
nto82503	190	4725369964	180437.27	979.326	0.0177	
nto82603	191	4725369964	180437.27	979.333	0.0177	
nto82703	192	4725369965	180437.27	979.327	0.0177	
nto82803	193	4725369964	180437.271	979.334	0.018	
nto82903	194	4725369964	180437.27	979.328	0.0182	
nto83003	195	4725369965	180437.269	979.327	0.0185	
nto83103	196	4725369961	180437.273	979.333	0.0184	
nto90103	197	4725369032	180437.699	980.278	0.0186	
nto90203	198	4725369032	180437.699	980.277	0.0191	
nto90303	199	4725369032	180437		980.277	0.0189	
nto90403	200	4725369032	180437		980.275	0.0187	
nto90503	201	4725369032	180437.699	980.28	0.0189	
nto90603	202	4725369033	180437.701	980.278	0.0187	
nto90703	203	4725369031	180437.699	980.275	0.0189	
nto91003	206	4725369034	180437		980.28	0.0186	
						
SOUTH	TOE	STATION				
3D						
						
location	day	northing	easting	elevation	vector	
st0216	1	4725167873	180485.215	970.989		
st0217	2	4725167874	180485.215	971.01		
st0218	3	4725167872	180485.215	970.988		
st0219	4	4725167873	180485.215	971.002		
st0220	5	4725167873	180485.214	970.996		
st0221	6	4725167872	180485.214	970.987		
st0222	7	4725167872	180485.214	970.984		
st0223	8	4725167871	180485.214	971		
st0224	9	4725167872	180485.213	971.002		
st0225	10	4725167871	180485.213	971.009		
st0226	11	4725167870	180485.213	971.007	0.008	
st0227	12	4725167871	180485.213	971.002	0.008	
st0228	13	4725167871	180485.213	971	0.008	
sto301	14	4725166311	180485.563	968.942	0.008	
sto302	15	4725166310	180485.563	968.937	0.008	
sto303	16	4725166310	180485.564	968.937	0.008	
sto304	17	4725166310	180485.563	968.946	0.008	
sto305	18	4725166311	180485.562	968.947	0.009	
sto306	19	4725166311	180485.563	968.956	0.009	
sto307	20	4725166310	180485.562	968.948	0.009	
sto308	21	4725166311	180485.561	968.947	0.009	
sto309	22	4725166311	180485.562	968.944	0.009	
sto310	23	4725166311	180485.561	968.946	0.009	
sto311	24	4725166310	180485.561	968.943	0.009	
sto312	25	4725166311	180485.561	968.947	0.01	
sto313	26	4725166311	180485.562	968.945	0.011	
sto314	27	4725166309	180485.561	968.951	0.012	
sto315	28	4725166310	180485.563	968.954	0.012	
sto316	29	4725167994	180485.433	968.609	0.012	
sto317	30	4725167993	180485.434	968.613	0.012	
sto318	31	4725167991	180485.433	968.621	0.013	
sto319	32	4725167992	180485.433	968.621	0.013	
sto320	33	4725167992	180485.433	968.622	0.012	
sto321	34	4725167993	180485.432	968.624	0.012	
sto322	35	4725167991	180485.433	968.619	0.012	
sto323	36	4725167992	180485.434	968.619	0.012	
sto324	37	4725167991	180485.433	968.622	0.012	
sto325	38	4725167991	180485.432	968.627	0.012	
sto326	39	4725167992	180485.435	968.61	0.012	
sto327	40	4725167991	180485.433	968.623	0.012	
sto328	41	4725167991	180485.432	968.615	0.012	
sto329	42	4725167991	180485.433	968.612	0.012	
sto330	43	4725167995	180485.431	968.604	0.012	
sto402	45	4725168288	180484.498	972.25	0.012	
sto403	46	4725168289	180484.498	972.261	0.011	
sto404	47	4725168286	180484.497	972.26	0.011	
sto405	48	4725168287	180484.498	972.262	0.011	
sto406	49	4725168287	180484.498	972.267	0.01	
sto407	50	4725168287	180484.497	972.265	0.01	
sto408	51	4725168288	180484.496	972.266	0.01	
sto409	52	4725168287	180484.497	972.264	0.009	
sto410	53	4725168288	180484.497	972.267	0.009	
sto411	54	4725168286	180484.496	972.269	0.009	
sto412	55	4725168286	180484.497	972.266	0.009	
sto413	56	4725168287	180484.496	972.263	0.009	
sto414	57	4725168287	180484.497	972.26	0.009	
sto415	58	4725168287	180484.497	972.265	0.009	
sto422	65	4725168960	180485.681	969.68	0.009	
sto423	66	4725168960	180485.68	969.679	0.009	
sto424	67	4725168959	180485.679	969.673	0.008	
sto425	68	4725168960	180485.681	969.676	0.008	
sto426	69	4725168960	180485.681	969.672	0.008	
sto427	70	4725168961	180485.681	969.673	0.008	
sto428	71	4725168960	180485.681	969.672	0.007	
sto429	72	4725168961	180485.681	969.678	0.007	
sto430	73	4725168961	180485.681	969.681	0.007	
st0502	75	4725166544	180485.102	973.807	0.007	
st0503	76	4725166543	180485.102	973.802	0.007	
st0505	78	4725166544	180485.102	973.802	0.007	
st0506	79	4725166544	180485.101	973.806	0.008	
st0507	80	4725166544	180485.101	973.803	0.008	
st0516	89	4725164205	180483.512	971.069	0.008	
st0517	90	4725164204	180483.511	971.08	0.008	
st0518	91	4725164203	180483.511	971.075	0.008	
st0519	92	4725164203	180483.511	971.078	0.008	
st0520	93	4725164204	180483.511	971.083	0.009	
st0521	94	4725164204	180483.51	971.076	0.009	
st0522	95	4725164203	180483.511	971.081	0.009	
st0523	96	4725164202	180483.511	971.081	0.009	
st0524	97	4725164204	180483.51	971.088	0.01	
st0525	98	4725164205	180483.511	971.082	0.01	
st0526	99	4725164204	180483.511	971.089	0.01	
st0527	100	4725164205	180483.511	971.082	0.011	
st0528	101	4725164203	180483.512	971.083	0.011	
st0529	102	4725164204	180483.512	971.077	0.011	
st0530	103	4725164204	180483.511	971.089	0.011	
st0531	104	4725164202	180483.51	971.087	0.011	
sto601	105	4725166395	180486.485	975.139	0.011	
sto602	106	4725166394	180486.486	975.139	0.012	
sto603	107	4725166395	180486.485	975.14	0.012	
sto604	108	4725166394	180486.484	975.136	0.011	
sto605	109	4725166395	180486.484	975.143	0.012	
sto606	110	4725166394	180486.484	975.139	0.012	
sto607	111	4725166395	180486.485	975.139	0.012	
sto608	112	4725166394	180486.485	975.133	0.012	
sto609	113	4725166395	180486.484	975.139	0.012	
sto610	114	4725166395	180486.485	975.133	0.012	
sto611	115	4725166394	180486.484	975.138	0.012	
sto612	116	4725166394	180486.485	975.141	0.012	
sto613	117	4725166394	180486.483	975.139	0.012	
sto614	118	4725166394	180486.484	975.137	0.012	
sto615	119	4725166394	180486.484	975.139	0.012	
sto616	120	4725168469	180486.467	975.073	0.012	
sto617	121	4725168469	180486.469	975.084	0.012	
sto618	122	4725168469	180486.467	975.073	0.013	
sto619	123	4725168467	180486.466	975.067	0.013	
sto620	124	4725168468	180486.466	975.072	0.013	
sto621	125	4725168469	180486.467	975.072	0.013	
sto622	126	4725168468	180486.466	975.068	0.014	
sto623	127	4725168467	180486.468	975.07	0.014	
sto624	128	4725168467	180486.467	975.066	0.014	
sto625	129	4725168467	180486.466	975.071	0.014	
sto626	130	4725168467	180486.466	975.071	0.015	
sto627	131	4725168467	180486.466	975.073	0.015	
sto628	132	4725168467	180486.468	975.073	0.014	
sto629	133	4725168468	180486.465	975.07	0.015	
sto630	134	4725168469	180486.466	975.075	0.015	
sto701	135	4725167208	180485.452	977.811	0.015	
sto702	136	4725167210	180485.453	977.82	0.015	
sto703	137	4725167209	180485.45	977.811	0.016	
sto704	138	4725167209	180485.453	977.816	0.016	
sto705	139	4725167210	180485.452	977.813	0.016	
sto706	140	4725167208	180485.453	977.816	0.016	
sto707	141	4725167210	180485.452	977.812	0.016	
sto708	142	4725167208	180485.453	977.816	0.017	
sto709	143	4725167208	180485.452	977.815	0.017	
sto710	144	4725167210	180485.451	977.81	0.017	
sto711	145	4725167210	180485.451	977.814	0.017	
sto712	146	4725167208	180485.45	977.813	0.017	
sto713	147	4725167208	180485.451	977.824	0.017	
sto714	148	4725167209	180485.451	977.813	0.018	
sto715	149	4725167208	180485.45	977.814	0.017	
sto716	150	4725166857	180485.925	974.66	0.018	
sto717	151	4725166857	180485.925	974.669	0.017	
sto718	152	4725166857	180485.924	974.665	0.018	
sto719	153	4725166857	180485.925	974.667	0.018	
sto720	154	4725166857	180485.925	974.669	0.018	
sto721	155	4725166857	180485.926	974.67	0.018	
sto722	156	4725166858	180485.923	974.664	0.018	
sto723	157	4725166856	180485.925	974.674	0.018	
sto724	158	4725166858	180485.924	974.668	0.019	
sto725	159	4725166857	180485.926	974.666	0.019	
sto726	160	4725166860	180485.926	974.67	0.019	
sto727	161	4725166858	180485.924	974.663	0.02	
sto728	162	4725166858	180485.924	974.668	0.024	
sto729	163	4725166856	180485.923	974.672	0.027	
sto730	164	4725166858	180485.923	974.664	0.031	
sto731	165	4725166859	180485.924	974.668	0.035	
sto80103	166	4725168643	180485.324	969.595	0.038	
sto80203	167	4725168642	180485.325	969.601	0.042	
sto80303	168	4725168644	180485.324	969.607	0.045	
sto80403	169	4725168642	180485.325	969.597	0.049	
sto80503	170	4725168644	180485.324	969.601	0.053	
sto80603	171	4725168642	180485.323	969.603	0.057	
st121703	304	4725168516	180485.585	972.214	0.061	
st121803	305	4725168517	180485.585	972.195	0.064	
