PBO Station Position Time Series.
Format Version, 1.2.0
Reference Frame, NAM08
4-character ID, BASE
Station name, Base_Station    
Begin Date, 2017-02-18
End Date, 2018-06-08
Release Date, 2018-07-14
Source file, BASE.pbo.nam08.pos
Offset from source file, 3.76 mm North, 3.58 mm East, -29.53 mm Vertical
Reference position, 42.6058248275 North Latitude, -114.8750388773 East Longitude, 1119.19669 meters elevation
Date, North (mm), East (mm), Vertical (mm), North Std. Deviation (mm), East Std. Deviation (mm), Vertical Std. Deviation (mm), Quality,
2017-02-18,0.00, 0.00, 0.00, 5.9, 5.88, 20.33, suppl,
2017-02-19,3.61, 2.90, -19.78, 1.96, 1.59, 6.29, suppl,
2017-02-20,2.74, 3.43, -21.27, 1.88, 1.55, 6.03, suppl,
2017-02-21,3.70, 3.29, -26.62, 1.84, 1.52, 5.93, suppl,
2017-02-22,2.86, 2.87, -22.66, 1.8, 1.49, 5.75, suppl,
2017-02-23,2.01, 1.25, -25.59, 2.44, 1.91, 7.68, suppl,
2017-02-24,2.80, 0.95, -30.05, 2.76, 2.02, 8.79, suppl,
2017-02-25,3.24, 1.71, -23.72, 1.88, 1.59, 6.16, suppl,
2017-02-26,2.61, 2.03, -22.64, 1.75, 1.5, 5.67, suppl,
2017-02-27,3.33, 2.05, -22.66, 1.74, 1.46, 5.62, suppl,
2017-02-28,2.89, 2.27, -26.99, 1.72, 1.43, 5.53, suppl,
2017-03-01,2.94, 2.49, -34.18, 1.79, 1.49, 5.75, suppl,
2017-03-02,2.85, 3.52, -34.73, 1.77, 1.47, 5.7, suppl,
2017-03-03,2.77, 3.16, -34.55, 1.71, 1.43, 5.54, suppl,
2017-03-04,2.39, 3.14, -20.25, 1.86, 1.5, 5.87, suppl,
2017-03-05,3.22, 2.97, -21.07, 1.82, 1.5, 5.81, suppl,
2017-03-06,2.46, 2.56, -24.67, 1.79, 1.48, 5.71, suppl,
2017-03-07,2.40, 2.48, -30.34, 1.77, 1.46, 5.64, suppl,
2017-03-08,2.62, 1.87, -26.67, 1.86, 1.55, 5.95, suppl,
2017-03-09,3.35, 1.60, -34.26, 2.1, 1.74, 6.89, suppl,
2017-03-10,2.67, 1.47, -38.45, 2.24, 1.89, 7.33, suppl,
2017-03-11,1.62, 2.87, -31.79, 2.89, 2.13, 9.08, suppl,
2017-03-12,1.95, 3.71, -30.34, 1.86, 1.53, 5.99, suppl,
2017-03-13,2.27, 2.98, -28.22, 1.83, 1.51, 5.92, suppl,
2017-03-14,1.71, 3.12, -26.62, 1.86, 1.53, 5.99, suppl,
2017-03-15,2.35, 3.71, -31.91, 1.8, 1.49, 5.83, suppl,
2017-03-16,2.86, 3.08, -23.68, 1.99, 1.62, 6.42, suppl,
2017-03-17,2.20, 4.02, -27.70, 1.76, 1.44, 5.66, suppl,
2017-03-18,3.38, 4.24, -24.67, 2.42, 2.18, 8.21, suppl,
2017-04-02,2.96, 2.31, -28.33, 1.8, 1.5, 5.9, suppl,
2017-04-03,3.35, 1.97, -25.75, 1.64, 1.39, 5.39, suppl,
2017-04-04,3.86, 2.47, -26.32, 1.54, 1.31, 5.07, suppl,
2017-04-05,3.45, 2.94, -30.68, 1.51, 1.29, 5.03, suppl,
2017-04-06,2.95, 3.67, -25.11, 1.26, 1.09, 4.06, suppl,
2017-04-07,2.59, 3.19, -19.61, 1.72, 1.45, 5.74, suppl,
2017-04-08,5.51, 0.43, -25.56, 2.91, 2.61, 9.83, suppl,
2017-04-09,2.51, 1.32, -23.42, 3.04, 2.4, 9.82, suppl,
2017-04-10,2.43, 2.92, -28.72, 1.67, 1.44, 5.48, suppl,
2017-04-11,2.81, 3.51, -29.22, 1.67, 1.44, 5.47, suppl,
2017-04-12,3.30, 3.46, -32.02, 1.71, 1.47, 5.58, suppl,
2017-04-13,2.48, 3.19, -27.70, 1.73, 1.48, 5.59, suppl,
2017-04-14,2.58, 2.09, -25.94, 1.8, 1.53, 5.87, suppl,
2017-04-15,4.03, 3.68, -31.01, 1.88, 1.64, 6.22, suppl,
2017-04-16,3.39, 3.10, -32.26, 1.66, 1.43, 5.41, suppf,
2017-04-17,3.86, 2.65, -28.50, 1.9, 1.6, 6.13, suppf,
2017-04-18,3.50, 4.10, -24.95, 2.65, 2.39, 9.03, suppf,
2017-04-24,3.86, 2.91, -29.42, 2.88, 2.31, 9.31, suppf,
2017-04-25,3.72, 2.88, -25.03, 1.77, 1.48, 5.66, suppf,
2017-04-26,2.55, 2.53, -22.58, 1.72, 1.46, 5.58, suppf,
2017-04-27,2.55, 2.28, -22.93, 1.94, 1.61, 6.27, suppf,
2017-04-28,3.42, 2.66, -29.63, 1.76, 1.48, 5.72, suppf,
2017-04-29,3.42, 2.97, -32.06, 1.72, 1.44, 5.54, suppf,
2017-04-30,3.45, 2.62, -31.93, 1.55, 1.31, 5.08, suppf,
2017-05-01,3.61, 2.35, -30.62, 1.56, 1.3, 5.11, suppf,
2017-05-02,3.04, 2.33, -24.90, 1.65, 1.38, 5.46, suppf,
2017-05-03,3.56, 2.47, -29.38, 1.53, 1.28, 5.03, suppf,
2017-05-04,3.15, 2.66, -30.05, 1.92, 1.67, 6.38, suppf,
2017-05-08,3.34, 2.67, -31.16, 1.76, 1.5, 5.8, suppf,
2017-05-09,3.77, 3.16, -31.20, 1.7, 1.42, 5.45, suppl,
2017-05-10,3.09, 1.94, -23.68, 1.65, 1.43, 5.4, suppl,
2017-05-11,2.39, 3.40, -26.24, 1.8, 1.54, 5.87, suppf,
2017-05-12,2.98, 3.62, -23.54, 1.69, 1.46, 5.54, suppf,
2017-05-13,2.73, 2.90, -24.22, 2.28, 2.11, 7.69, suppf,
2017-05-14,4.23, 3.62, -25.94, 1.68, 1.45, 5.45, suppf,
2017-05-15,3.90, 3.18, -22.64, 1.73, 1.48, 5.64, suppf,
2017-05-16,2.68, 2.78, -20.98, 1.7, 1.45, 5.53, suppf,
2017-05-17,2.54, 2.20, -22.51, 1.79, 1.52, 5.8, suppf,
2017-05-18,3.00, 3.14, -29.31, 1.77, 1.52, 5.71, suppf,
2017-05-19,2.94, 2.40, -29.52, 1.78, 1.48, 5.7, suppf,
2017-05-20,3.19, 3.43, -25.85, 1.77, 1.49, 5.75, suppf,
2017-05-21,3.10, 3.35, -27.14, 1.83, 1.56, 6.01, suppf,
2017-05-22,2.15, 2.77, -32.67, 1.74, 1.49, 5.73, suppf,
2017-05-23,2.81, 3.32, -30.93, 1.85, 1.58, 6.11, suppf,
2017-05-24,1.90, 1.78, -20.18, 1.85, 1.57, 6.01, suppf,
2017-05-25,2.58, 2.34, -20.30, 1.82, 1.53, 5.96, suppf,
