PBO Station Position Time Series.
Format Version, 1.2.0
Reference Frame, NAM08
4-character ID, BLOK
Station name, Upper_Block     
Begin Date, 2017-01-16
End Date, 2018-05-09
Release Date, 2018-07-12
Source file, BLOK.pbo.nam08.pos
Offset from source file, 0.07 mm North, -0.41 mm East, 0.58 mm Vertical
Reference position, 42.6161232310 North Latitude, -114.8914644637 East Longitude, 1072.94083 meters elevation
Date, North (mm), East (mm), Vertical (mm), North Std. Deviation (mm), East Std. Deviation (mm), Vertical Std. Deviation (mm), Quality,
2017-01-16,0.00, 0.00, 0.00, 1.94, 1.69, 6.86, suppl,
2017-01-17,-1.17, 0.43, 1.44, 2, 1.74, 7.12, suppl,
2017-01-18,1.38, -1.65, 0.30, 2.79, 2.7, 11.07, suppl,
2017-02-06,1.49, -1.20, -2.17, 2.2, 1.89, 7.94, suppl,
2017-02-07,1.16, -1.64, -5.65, 2.22, 1.87, 7.86, suppl,
2017-02-08,0.75, -3.40, -7.58, 2.09, 1.81, 7.5, suppl,
2017-02-09,4.89, -2.86, -20.95, 3.94, 3.6, 13.58, suppl,
2017-02-10,9.29, -0.79, -28.96, 5.59, 4.52, 20.33, suppl,
2017-02-11,6.44, -7.41, -34.29, 3.49, 2.67, 12.45, suppl,
2017-02-12,6.70, -6.76, -31.71, 2.3, 2, 8.73, suppl,
2017-02-13,6.11, -8.05, -32.01, 2.72, 2.24, 9.59, suppl,
2017-02-14,7.30, -7.96, -34.64, 2.4, 2.06, 8.87, suppl,
2017-02-15,6.52, -8.11, -25.85, 2.25, 1.97, 8.57, suppl,
2017-02-16,6.48, -9.34, -18.47, 3.21, 2.97, 12.14, suppl,
2017-03-04,-22.60, -56.96, -30.19, 57.7, 103.86, 98.62, suppl,
2017-03-05,8.08, -16.18, -29.66, 2.06, 1.77, 7.36, suppl,
2017-03-06,8.35, -16.48, -36.16, 2.07, 1.8, 7.31, suppl,
2017-03-07,9.33, -18.47, -40.59, 3.7, 3.74, 13.46, suppl,
2017-03-11,7.76, -16.82, -41.22, 4.93, 3.7, 16.11, suppl,
2017-03-12,8.24, -17.25, -43.37, 2.1, 1.84, 7.44, suppl,
2017-03-13,7.90, -18.66, -41.88, 2.02, 1.74, 7.17, suppl,
2017-03-14,8.41, -18.08, -45.53, 2.09, 1.8, 7.5, suppl,
2017-03-15,9.99, -19.83, -43.91, 2.96, 3.04, 11.56, suppl,
2017-03-16,-43.06, 29.33, 75.59, 44.42, 65.86, 101.37, suppl,
2017-03-17,8.47, -17.31, -59.69, 6.08, 4.48, 21.34, suppl,
2017-03-18,10.71, -19.16, -45.02, 2.06, 1.77, 7.4, suppl,
2017-03-19,9.71, -19.87, -42.39, 2.26, 1.99, 8.34, suppl,
2017-04-01,8.54, -24.13, -54.84, 4.55, 3.74, 15.85, suppl,
2017-04-02,11.85, -22.89, -57.72, 2.01, 1.77, 7.29, suppl,
2017-04-03,12.00, -24.75, -49.92, 1.86, 1.65, 6.64, suppl,
2017-04-04,12.96, -22.62, -56.42, 1.89, 1.68, 6.87, suppl,
2017-04-05,11.89, -23.76, -67.12, 5.17, 6.39, 21.37, suppl,
2017-04-08,11.73, -25.71, -63.34, 5.86, 4.83, 20.34, suppl,
2017-04-09,10.25, -24.67, -53.35, 3.86, 3.31, 13.24, suppl,
2017-04-10,12.00, -23.62, -58.99, 1.95, 1.75, 7.07, suppl,
2017-04-11,12.64, -24.41, -53.31, 2.33, 2.19, 8.78, suppl,
2017-04-12,11.40, 5.76, -69.76, 8.48, 7.03, 37.89, suppl,
2017-04-24,15.56, -26.28, -73.02, 3.39, 2.77, 11.46, suppf,
2017-04-25,14.58, -25.87, -64.17, 2, 1.75, 7.11, suppf,
2017-04-26,13.30, -27.01, -54.26, 2.22, 2.05, 8.41, suppf,
2017-05-07,13.41, -9.44, -48.02, 5.59, 4.84, 21.91, suppf,
2017-05-08,16.36, -28.18, -79.58, 2.06, 1.83, 7.44, suppf,
2017-05-09,16.46, -27.55, -81.35, 2.01, 1.75, 7.2, suppl,
2017-05-10,15.58, -30.12, -70.32, 2.46, 2.2, 9.26, suppl,
2017-05-14,17.62, -30.50, -72.19, 1.95, 1.73, 6.97, suppf,
2017-05-15,17.76, -32.01, -70.40, 2.07, 1.82, 7.44, suppf,
2017-05-16,16.47, -32.24, -68.15, 2, 1.77, 7.19, suppf,
2017-05-17,17.36, -32.89, -79.24, 2.02, 1.78, 7.23, suppf,
2017-05-18,16.72, -33.24, -79.82, 1.99, 1.78, 7.15, suppf,
2017-05-19,16.92, -33.97, -84.64, 2.36, 2.11, 8.86, suppf,
2017-05-20,17.72, -32.06, -82.00, 2.04, 1.78, 7.37, suppf,
2017-05-21,17.56, -34.21, -92.17, 2.63, 2.29, 9.76, suppf,
2017-06-06,29.21, -22.04, -116.41, 7.53, 6.92, 32.72, suppf,
2017-06-07,24.03, -43.92, -97.82, 2.22, 1.91, 7.94, suppf,
2017-06-08,23.96, -45.99, -98.14, 2.03, 1.74, 7.15, suppf,
2017-06-09,25.80, -45.91, -99.24, 2.17, 1.85, 7.73, suppf,
2017-06-10,24.73, -46.40, -94.18, 2.18, 1.86, 7.71, suppf,
2017-06-11,25.59, -46.87, -95.33, 2.14, 1.83, 7.66, suppf,
2017-06-12,23.57, -46.38, -109.46, 3.74, 3.62, 15.03, suppf,
2017-08-13,36.31, -73.77, -146.53, 3.96, 3.85, 17.77, suppf,
2017-08-14,35.52, -76.13, -155.13, 2.1, 1.84, 7.73, suppf,
2017-08-15,35.28, -77.66, -152.09, 2.15, 1.85, 8.02, suppf,
2017-08-16,36.44, -77.31, -153.76, 2.11, 1.83, 7.76, suppf,
2017-08-17,34.93, -78.26, -156.56, 2.12, 1.84, 7.8, suppf,
2017-08-18,34.86, -78.71, -159.87, 2.1, 1.81, 7.7, suppf,
2017-08-19,36.97, -77.04, -159.43, 1.97, 1.71, 7.1, suppf,
2017-08-20,36.73, -79.11, -164.31, 2.07, 1.79, 7.75, suppf,
2017-08-21,37.25, -78.78, -160.92, 2.05, 1.77, 7.63, suppf,
2017-08-22,36.06, -78.52, -160.43, 2.09, 1.76, 7.65, suppf,
2017-08-23,36.48, -78.84, -164.39, 2.18, 1.85, 8.04, suppf,
2017-08-24,36.98, -79.76, -156.40, 2.29, 1.94, 8.52, suppf,
2017-08-25,36.57, -78.77, -160.27, 2.22, 1.84, 8.07, suppf,
2017-08-26,37.45, -78.33, -159.02, 2.13, 1.81, 7.87, suppf,
2017-08-27,36.00, -78.72, -159.90, 2.07, 1.78, 7.65, suppf,
2017-08-28,37.20, -80.36, -160.81, 2.08, 1.76, 7.57, suppf,
2017-08-29,38.68, -78.45, -165.30, 2.16, 1.84, 7.89, suppf,
2017-08-30,37.33, -79.90, -160.74, 2.3, 1.95, 8.35, suppf,
