PBO Station Position Time Series.
Format Version, 1.2.0
Reference Frame, NAM08
4-character ID, MIDB
Station name, Middle_Block    
Begin Date, 2017-01-28
End Date, 2018-06-05
Release Date, 2018-07-14
Source file, MIDB.pbo.nam08.pos
Offset from source file, -13.56 mm North, -26.55 mm East, 50.61 mm Vertical
Reference position, 42.6142630913 North Latitude, -114.8942051583 East Longitude, 1015.85834 meters elevation
Date, North (mm), East (mm), Vertical (mm), North Std. Deviation (mm), East Std. Deviation (mm), Vertical Std. Deviation (mm), Quality,
2017-01-28,0.00, 0.00, 0.00, 10.66, 7.8, 44.22, suppl,
2017-01-29,-3.45, 3.13, 44.80, 1.78, 1.46, 5.7, suppl,
2017-01-30,-3.85, 2.75, 51.43, 1.79, 1.49, 5.75, suppl,
2017-01-31,-2.86, 2.53, 54.11, 1.84, 1.51, 5.88, suppl,
2017-02-01,-2.72, 2.48, 51.28, 1.81, 1.49, 5.82, suppl,
2017-02-02,-2.06, 1.20, 48.63, 2, 1.67, 6.67, suppl,
2017-02-03,-2.95, -0.88, 46.02, 2.77, 2.08, 8.7, suppl,
2017-02-04,-2.33, -1.10, 44.48, 3.33, 2.35, 10.35, suppl,
2017-02-05,-4.43, -0.39, 60.77, 5, 3.88, 16.99, suppl,
2017-02-06,-4.01, 3.46, 61.74, 2.02, 1.71, 6.62, suppl,
2017-02-07,-7.58, -5.00, 47.75, 8.77, 6.12, 28.59, suppl,
2017-02-08,-1.80, -1.54, 49.85, 3.44, 2.44, 10.87, suppl,
2017-02-10,4.04, 0.86, 52.42, 4.76, 3.63, 15.74, suppl,
2017-02-11,-3.56, -5.05, 45.42, 3.17, 2.29, 9.87, suppl,
2017-02-12,-2.76, -3.79, 44.93, 2.08, 1.68, 6.75, suppl,
2017-02-13,-4.84, -4.92, 46.99, 2.35, 1.83, 7.39, suppl,
2017-02-14,-3.62, -5.42, 44.64, 1.94, 1.6, 6.41, suppl,
2017-02-15,-4.87, -5.27, 54.04, 1.83, 1.54, 6.09, suppl,
2017-02-16,-6.26, -6.57, 61.14, 2.43, 2.13, 8.39, suppl,
2017-02-17,-3.49, -7.56, 60.34, 2.59, 1.85, 8.27, suppl,
2017-02-18,-17.20, -23.32, 82.72, 5.47, 4.59, 21.27, suppl,
2017-02-26,-7.48, -17.06, 53.17, 5.83, 4.65, 22.71, suppl,
2017-02-27,-9.04, -12.59, 62.54, 1.89, 1.58, 6.09, suppl,
2017-02-28,-9.25, -14.20, 57.97, 1.89, 1.56, 6.1, suppl,
2017-03-01,-9.48, -14.56, 49.15, 1.86, 1.54, 5.98, suppl,
2017-03-02,-9.86, -14.02, 48.21, 1.88, 1.56, 6.07, suppl,
2017-03-03,-9.63, -14.36, 48.47, 1.85, 1.55, 5.99, suppl,
2017-03-04,-7.69, -16.86, 59.74, 2.94, 2.88, 10.37, suppl,
2017-03-05,-9.93, -15.40, 64.77, 2, 1.64, 6.47, suppl,
2017-03-06,-11.02, -15.99, 60.10, 2.01, 1.67, 6.48, suppl,
2017-03-17,-16.25, -19.87, 51.90, 5.29, 3.79, 16.85, suppl,
2017-03-18,-11.59, -20.82, 54.77, 1.96, 1.61, 6.33, suppl,
2017-03-19,-11.86, -22.04, 55.88, 1.93, 1.59, 6.25, suppl,
2017-03-20,-12.60, -21.55, 57.78, 1.92, 1.58, 6.19, suppl,
2017-03-21,-12.56, -21.67, 55.45, 1.97, 1.62, 6.39, suppl,
2017-03-22,-12.27, -24.17, 53.19, 2.32, 1.98, 7.77, suppl,
2017-03-23,-13.43, -25.08, 56.65, 2.87, 2.31, 9.21, suppl,
2017-03-24,-13.98, -22.88, 58.36, 2, 1.69, 6.59, suppl,
2017-03-25,-13.50, -24.88, 56.73, 2.72, 2.19, 8.91, suppl,
2017-03-26,-12.63, -24.94, 55.74, 2.14, 1.83, 7.15, suppl,
2017-03-27,-15.03, -26.94, 48.07, 3.16, 2.51, 10.54, suppl,
2017-03-28,-12.73, -25.68, 53.65, 2.24, 1.89, 7.46, suppl,
2017-03-29,-12.96, -24.37, 55.45, 2.03, 1.71, 6.66, suppl,
2017-03-30,-12.56, -25.35, 53.49, 3.14, 2.72, 10.84, suppl,
2017-04-01,-19.48, -28.21, 55.39, 4.58, 3.65, 15.7, suppl,
2017-04-02,-14.72, -25.92, 49.50, 1.88, 1.57, 6.22, suppl,
2017-04-03,-14.37, -27.46, 54.57, 1.82, 1.53, 5.98, suppl,
2017-04-04,-13.74, -26.76, 55.15, 1.76, 1.49, 5.81, suppl,
2017-04-05,-13.73, -26.19, 52.18, 1.74, 1.46, 5.71, suppl,
2017-04-06,-14.38, -25.64, 57.22, 1.72, 1.45, 5.68, suppl,
2017-04-07,-14.37, -26.43, 60.06, 1.83, 1.54, 6.11, suppl,
2017-04-08,-15.03, -26.91, 59.60, 1.89, 1.58, 6.23, suppl,
2017-04-09,-14.98, -28.78, 53.95, 2.21, 1.98, 7.52, suppl,
2017-04-10,-15.05, -27.35, 52.43, 1.83, 1.57, 6.03, suppl,
2017-04-11,-14.66, -26.83, 53.75, 1.83, 1.57, 5.99, suppl,
2017-04-12,-14.67, -26.75, 50.86, 1.84, 1.57, 6.01, suppl,
2017-04-13,-15.73, -27.60, 51.95, 1.87, 1.59, 6.1, suppl,
