PBO Station Position Time Series.
Format Version, 1.2.0
Reference Frame, NAM08
4-character ID, STOE
Station name, South_Toe_Slope 
Begin Date, 2017-02-05
End Date, 2018-06-02
Release Date, 2018-06-21
Source file, STOE.pbo.nam08.pos
Offset from source file, -15.79 mm North, -13.85 mm East, 11.80 mm Vertical
Reference position, 42.6126951495 North Latitude, -114.8953973029 East Longitude, 973.88339 meters elevation
Date, North (mm), East (mm), Vertical (mm), North Std. Deviation (mm), East Std. Deviation (mm), Vertical Std. Deviation (mm), Quality,
2017-02-05,0.00, 0.00, 0.00, 7.52, 5.92, 26.87, suppl,
2017-02-06,-3.42, 0.62, 7.95, 2.12, 1.74, 7.31, suppl,
2017-02-07,-4.28, -2.31, 7.62, 2.23, 1.79, 7.58, suppl,
2017-02-08,-3.67, -2.15, -3.57, 2.12, 1.75, 7.3, suppl,
2017-02-09,-0.81, -0.43, -4.64, 4.62, 3.92, 16.04, suppl,
2017-02-10,-0.59, -1.41, 8.83, 5.74, 4.9, 23.47, suppl,
2017-02-11,-4.21, -6.32, -6.67, 3.45, 2.52, 11.27, suppl,
2017-02-12,-3.38, -3.90, -8.19, 2.05, 1.72, 7.43, suppl,
2017-02-13,-4.07, -4.63, -3.35, 2.89, 2.25, 9.98, suppl,
2017-02-14,-5.13, -4.97, -6.23, 2.21, 1.81, 7.86, suppl,
2017-02-15,-5.74, -4.46, -1.16, 2.09, 1.78, 7.6, suppl,
2017-02-16,-5.78, -4.41, 3.29, 2.24, 2.06, 8.49, suppl,
2017-02-17,-7.26, -6.22, 4.10, 3.54, 2.55, 12.14, suppl,
2017-02-18,-1.95, -25.34, 21.02, 88.28, 259.91, 115.9, suppl,
2017-02-26,-16.97, -6.01, 58.53, 14.22, 9.64, 67.65, suppl,
2017-02-27,-9.11, -6.70, 13.91, 2.11, 1.74, 7.26, suppl,
2017-02-28,-9.12, -7.36, 4.52, 2.04, 1.68, 7.04, suppl,
2017-03-01,-9.46, -7.82, -4.46, 2.08, 1.7, 7.13, suppl,
2017-03-02,-10.26, -7.41, -1.57, 2.06, 1.7, 7.13, suppl,
2017-03-03,-9.90, -8.12, 1.56, 2.12, 1.75, 7.37, suppl,
