PBO Station Position Time Series.
Format Version, 1.2.0
Reference Frame, NAM08
4-character ID, BLKM
Station name, Upper_Block_Midd
Begin Date, 2017-01-15
End Date, 2018-01-23
Release Date, 2018-02-13
Source file, BLKM.pbo.nam08.pos
Offset from source file, -1.72 mm North, -33.08 mm East, -7.46 mm Vertical
Reference position, 42.6131348870 North Latitude, -114.8905526888 East Longitude, 1079.34090 meters elevation
Date, North (mm), East (mm), Vertical (mm), North Std. Deviation (mm), East Std. Deviation (mm), Vertical Std. Deviation (mm), Quality,
2017-01-15,0.00, 0.00, 0.00, 6.85, 6.1, 30.62, suppl,
2017-01-16,-5.47, -4.27, 36.79, 2.07, 1.7, 7.14, suppl,
2017-01-17,-5.16, -3.88, 34.15, 2.11, 1.73, 7.31, suppl,
2017-01-18,-5.94, -4.31, 47.68, 2.2, 1.81, 7.61, suppl,
2017-01-19,-6.93, -3.84, 43.45, 2.12, 1.74, 7.19, suppl,
2017-01-20,-5.25, -4.81, 46.60, 2.01, 1.65, 6.88, suppl,
2017-01-21,-5.29, -7.37, 46.52, 2.11, 1.76, 7.31, suppl,
2017-01-22,-6.97, -8.50, 33.13, 4.77, 4.18, 17.81, suppl,
2017-02-05,-6.18, -9.18, 29.96, 4.33, 3.26, 15.46, suppl,
2017-02-06,-4.31, -7.14, 37.85, 2.08, 1.7, 7.08, suppl,
2017-02-07,-2.98, -11.93, 24.68, 2.09, 1.67, 7.06, suppl,
2017-02-08,-4.01, -9.77, 30.90, 2.1, 1.71, 7.2, suppl,
2017-02-10,1.67, -10.14, 50.51, 10.93, 9.74, 43.75, suppl,
2017-02-11,-4.56, -13.21, 21.86, 3.34, 2.41, 11.16, suppl,
2017-02-12,-2.28, -11.07, 14.15, 2.32, 1.86, 8.22, suppl,
2017-02-13,-3.67, -12.08, 16.03, 2.56, 1.97, 8.57, suppl,
2017-02-14,-2.76, -12.50, 15.74, 2.04, 1.66, 7.27, suppl,
2017-02-15,-3.20, -12.38, 23.08, 1.9, 1.58, 6.74, suppl,
2017-02-16,-2.61, -11.91, 26.42, 2.49, 2.14, 9.1, suppl,
2017-02-17,-3.01, -15.45, 31.15, 4.05, 2.86, 14.12, suppl,
2017-02-26,-3.16, -22.18, 10.28, 4.83, 3.53, 16.89, suppl,
2017-02-27,-3.44, -20.28, 17.21, 1.98, 1.63, 6.77, suppl,
2017-02-28,-2.52, -20.61, 14.15, 2, 1.62, 6.82, suppl,
2017-03-01,-2.61, -18.58, 2.22, 2.49, 2.2, 9.07, suppl,
2017-03-04,-2.88, -29.62, -51.62, 87.72, 170.91, 200.39, suppl,
2017-03-05,-4.00, -22.96, 15.79, 2.04, 1.66, 6.96, suppl,
2017-03-06,-4.04, -23.89, 9.55, 2.05, 1.65, 6.95, suppl,
2017-03-07,-3.99, -24.53, 3.46, 2.04, 1.64, 6.96, suppl,
