PBO Station Position Time Series.
Format Version, 1.2.0
Reference Frame, NAM08
4-character ID, BLKS
Station name, Upper_Block_Sout
Begin Date, 2017-02-11
End Date, 2017-11-14
Release Date, 2018-02-10
Source file, BLKS.pbo.nam08.pos
Offset from source file, 2.20 mm North, -1.46 mm East, -9.88 mm Vertical
Reference position, 42.6118421599 North Latitude, -114.8894756236 East Longitude, 1088.08335 meters elevation
Date, North (mm), East (mm), Vertical (mm), North Std. Deviation (mm), East Std. Deviation (mm), Vertical Std. Deviation (mm), Quality,
2017-02-11,0.00, 0.00, 0.00, 7.76, 5.79, 23.95, suppl,
2017-02-12,-1.38, 2.36, 0.37, 1.62, 1.36, 5.31, suppl,
2017-02-13,-2.34, 1.92, 0.86, 2, 1.61, 6.39, suppl,
2017-02-14,-1.54, 1.43, -1.05, 1.97, 1.55, 6.26, suppl,
2017-02-15,-2.44, 2.72, 7.47, 2.11, 1.68, 6.94, suppl,
2017-02-16,0.17, 3.88, 9.78, 3.45, 2.95, 11.91, suppl,
2017-02-26,0.85, 0.42, 8.96, 4.1, 3.2, 13.67, suppl,
2017-02-27,-1.06, 0.02, 10.57, 1.82, 1.52, 5.8, suppl,
2017-02-28,-0.72, -0.07, 10.59, 1.81, 1.49, 5.76, suppl,
2017-03-01,-0.90, 0.55, -1.17, 1.81, 1.49, 5.75, suppl,
2017-03-02,-1.13, 1.12, -1.88, 1.8, 1.49, 5.73, suppl,
2017-03-03,-0.72, 1.05, -1.27, 1.81, 1.5, 5.77, suppl,
2017-03-04,-1.12, 0.77, 10.92, 1.93, 1.55, 6.01, suppl,
2017-03-05,-0.50, 0.78, 9.53, 1.89, 1.55, 5.96, suppl,
2017-03-06,-0.90, 0.79, 5.94, 2.51, 2.06, 8.04, suppl,
2017-03-07,0.96, 0.51, -4.38, 4.5, 3.49, 14.47, suppl,
2017-03-08,-2.51, -1.95, 7.54, 3.3, 2.44, 10.48, suppl,
2017-03-09,-0.75, -0.67, -2.87, 2.42, 1.94, 7.72, suppl,
2017-03-10,-0.38, -1.13, -4.39, 2.43, 2.03, 8.03, suppl,
2017-03-11,-1.93, 0.76, -3.21, 3.06, 2.29, 9.67, suppl,
2017-03-12,-2.08, 1.25, -1.79, 2.64, 2.02, 8.12, suppl,
2017-03-13,-2.02, -0.56, -1.82, 1.98, 1.66, 6.4, suppl,
2017-03-14,-2.12, 0.23, -1.64, 2.04, 1.71, 6.64, suppl,
2017-03-15,-1.84, -0.10, -8.42, 2.34, 1.85, 7.36, suppl,
2017-03-16,-0.45, 1.04, -4.96, 2.98, 2.3, 9.41, suppl,
2017-03-17,-1.64, 0.63, -1.31, 2.09, 1.73, 6.84, suppl,
2017-03-18,0.34, 0.31, -4.00, 1.83, 1.51, 5.83, suppl,
2017-03-19,-0.38, 0.20, -2.57, 1.84, 1.52, 5.9, suppl,
2017-03-20,-0.36, 0.35, -2.27, 1.8, 1.48, 5.71, suppl,
2017-03-21,-0.40, 0.44, -3.56, 1.87, 1.54, 5.98, suppl,
2017-03-22,-0.37, -0.65, 1.22, 2.01, 1.63, 6.42, suppl,
