PBO Station Position Time Series.
Format Version, 1.2.0
Reference Frame, NAM08
4-character ID, NTOE
Station name, North_Toe_Slope 
Begin Date, 2017-02-05
End Date, 2018-01-23
Release Date, 2018-02-13
Source file, NTOE.pbo.nam08.pos
Offset from source file, 6.99 mm North, 17.00 mm East, -84.03 mm Vertical
Reference position, 42.6145002130 North Latitude, -114.8961011046 East Longitude, 980.71491 meters elevation
Date, North (mm), East (mm), Vertical (mm), North Std. Deviation (mm), East Std. Deviation (mm), Vertical Std. Deviation (mm), Quality,
2017-02-05,0.00, 0.00, 0.00, 37.54, 62.1, 157.58, suppl,
2017-02-06,18.95, 37.92, -72.50, 2.38, 1.93, 8.17, suppl,
2017-02-07,18.49, 35.38, -82.85, 2.4, 1.9, 8.15, suppl,
2017-02-08,13.28, 33.82, -73.15, 5.45, 4.64, 18.9, suppl,
2017-02-12,19.61, 34.43, -91.87, 2.18, 1.76, 7.64, suppl,
2017-02-13,19.21, 33.42, -93.32, 2.38, 1.95, 8.57, suppl,
2017-02-14,17.90, 30.99, -96.20, 3.28, 2.42, 11.07, suppl,
2017-02-15,12.83, 34.92, -85.11, 5.41, 4.66, 18.92, suppl,
2017-02-26,11.29, 22.87, -97.07, 9.56, 6.56, 46.54, suppl,
2017-02-27,12.58, 24.63, -76.65, 2.27, 1.84, 7.81, suppl,
2017-02-28,12.40, 25.29, -74.88, 2.3, 1.83, 7.81, suppl,
2017-03-01,10.55, 25.04, -81.14, 2.32, 1.86, 7.89, suppl,
2017-03-02,11.54, 25.21, -84.15, 2.33, 1.87, 7.95, suppl,
2017-03-03,11.10, 24.86, -79.78, 2.31, 1.86, 7.91, suppl,
2017-03-04,10.61, 24.26, -72.07, 2.32, 1.85, 7.87, suppl,
2017-03-05,11.45, 24.27, -70.78, 2.34, 1.87, 7.93, suppl,
2017-03-06,14.51, 27.93, -82.56, 6.48, 5.9, 21.06, suppl,
2017-03-11,6.04, 22.50, -81.78, 7.23, 4.95, 26.05, suppl,
2017-03-12,8.56, 23.10, -77.25, 2.36, 1.88, 8.07, suppl,
2017-03-13,9.42, 22.57, -83.78, 2.31, 1.84, 7.9, suppl,
2017-03-14,9.23, 22.64, -77.04, 2.29, 1.83, 7.82, suppl,
2017-03-15,7.88, 21.75, -82.98, 2.31, 1.85, 7.86, suppl,
2017-03-16,8.97, 21.81, -76.11, 2.37, 1.89, 8.07, suppl,
2017-03-17,8.27, 21.75, -78.52, 2.31, 1.85, 7.91, suppl,
2017-03-18,10.34, 21.31, -80.81, 2.34, 1.86, 7.99, suppl,
2017-03-19,8.45, 21.36, -80.93, 2.31, 1.85, 7.88, suppl,
2017-03-20,8.70, 21.06, -79.40, 2.29, 1.83, 7.79, suppl,
2017-03-21,8.73, 20.90, -76.64, 2.31, 1.86, 7.93, suppl,
2017-03-22,7.92, 21.00, -74.77, 2.51, 2.04, 8.72, suppl,
2017-03-23,10.11, 18.79, -79.99, 3.27, 2.72, 11.85, suppl,
2017-03-24,8.24, 19.73, -77.30, 2.31, 1.88, 8.03, suppl,
2017-03-25,9.65, 19.05, -76.78, 3.01, 2.42, 10.37, suppl,
2017-03-26,8.78, 20.44, -79.52, 2.52, 2.08, 8.94, suppl,
2017-03-27,6.99, 17.77, -81.24, 3.25, 2.65, 11.59, suppl,
2017-03-28,8.73, 19.71, -80.58, 2.75, 2.27, 9.95, suppl,
2017-03-29,8.17, 19.33, -78.51, 2.28, 1.83, 7.77, suppl,
2017-03-30,7.87, 19.85, -81.40, 2.67, 2.22, 9.54, suppl,
2017-03-31,5.39, 17.34, -72.62, 3.76, 2.86, 13.17, suppl,
