DATE	PRCP	TMAX
20160101	0	13
20160102	0	11
20160103	0	27
20160104	-9999	30
20160105	-9999	38
20160106	-9999	42
20160107	-9999	39
20160108	-9999	32
20160109	-9999	36
20160110	-9999	38
20160111	0	28
20160112	0	30
20160113	0	32
20160114	0	38
20160115	0.18	37
20160116	0	35
20160117	0.14	36
20160118	0.09	38
20160119	-9999	42
20160120	-9999	41
20160121	-9999	40
20160122	-9999	40
20160123	-9999	36
20160124	-9999	35
20160125	-9999	40
20160126	-9999	39
20160127	-9999	36
20160128	-9999	37
20160129	-9999	38
20160130	-9999	41
20160131	0.03	38
20160201	0	30
20160202	0	31
20160203	0	33
20160204	0.07	34
20160205	0	39
20160206	0	38
20160207	0	44
20160208	0	42
20160209	0	33
20160210	0	35
20160211	0	43
20160212	0	44
20160213	0	47
20160214	0.09	47
20160215	0	47
20160216	0	59
20160217	0	49
20160218	0	49
20160219	0	52
20160220	0	59
20160221	0	45
20160222	0	50
20160223	0	44
20160224	0	45
20160225	0	49
20160226	0	52
20160227	0	58
20160228	0	55
20160229	0	62
20160301	0	50
20160302	0.01	59
20160303	0	58
20160304	0	61
20160305	0	63
20160306	0	64
20160307	-9999	54
20160308	0	51
20160309	0.04	51
20160310	0	52
20160311	0.21	64
20160312	0	59
20160313	0	57
20160314	-9999	49
20160315	0.02	44
20160316	0.04	43
20160317	0	48
20160318	0	48
20160319	0	48
20160320	0	58
20160321	0	67
20160322	0.22	51
20160323	0	46
20160324	0	50
20160325	0.01	56
20160326	0	46
20160327	0	50
20160328	0.11	54
20160329	0	46
20160330	0.35	38
20160331	0	57
20160401	0	60
20160402	0	60
20160403	0	68
20160404	0	70
20160405	0	65
20160406	0	54
20160407	0	66
20160408	0	72
20160409	0	77
20160410	0	77
20160411	0	72
20160412	0	72
20160413	0.1	69
20160414	0	59
20160415	0.08	57
20160416	0	54
20160417	0	61
20160418	0	65
20160419	0	65
20160420	0	71
20160421	0	78
20160422	0	85
20160423	0.08	77
20160424	0	51
20160425	0.11	58
20160426	0.37	50
20160427	0.02	59
20160428	0.03	60
20160429	0	64
20160430	0.01	61
20160501	0	62
20160502	0	64
20160503	0	70
20160504	0	77
20160505	0	80
20160506	0.01	78
20160507	0.28	67
20160508	0	66
20160509	0	72
20160510	0	58
20160511	0	62
20160512	0	67
20160513	0	79
20160514	0	82
20160515	0.5	78
20160516	0	64
20160517	0	65
20160518	0	72
20160519	0	78
20160520	0.3	62
20160521	0.26	53
20160522	0.02	61
20160523	0	61
20160524	0	66
20160525	0	69
20160526	0.14	66
20160527	0	72
20160528	0	67
20160529	0	70
20160530	0	76
20160531	0	73
20160601	0	77
20160602	0	84
20160603	0	83
20160604	0	84
20160605	0.01	88
20160606	0.02	92
20160607	0	91
20160608	0	92
20160609	0	92
20160610	0	83
20160611	0	84
20160612	0	69
20160613	0	72
20160614	0	80
20160615	0	65
20160616	0.04	67
20160617	0	72
20160618	0	82
20160619	0	82
20160620	0	77
20160621	0	91
20160622	0	81
20160623	0	88
20160624	0	90
20160625	0	73
20160626	0	78
20160627	0	86
20160628	0	95
20160629	0	97
20160630	0.02	95
20160701	0	89
20160702	0	90
20160703	0	92
20160704	0	92
20160705	0	83
20160706	0	78
20160707	0	77
20160708	0	83
20160709	0	88
20160710	0	85
20160711	0.18	65
20160712	0	73
20160713	0	84
20160714	0	83
20160715	0	88
20160716	0	90
20160717	0	82
20160718	0	89
20160719	0	89
20160720	0	88
20160721	0	89
20160722	0	97
20160723	0	89
20160724	0	83
20160725	0	87
20160726	0	93
20160727	0	95
20160728	0	94
20160729	0	95
20160730	0	97
20160731	0	95
20160801	0	91
20160802	0	90
20160803	0	93
20160804	0	80
20160805	0	83
20160806	0	86
20160807	0	88
20160808	0	86
20160809	0	84
20160810	0	74
20160811	0	77
20160812	0	84
20160813	0	88
20160814	0	88
20160815	0	94
20160816	0	92
20160817	0	92
20160818	0	93
20160819	0	88
20160820	0	84
20160821	0	88
20160822	0	91
20160823	0	83
20160824	0	77
20160825	0	78
20160826	0	79
20160827	0	81
20160828	0	86
20160829	0	87
20160830	0	89
20160831	0	90
20160901	0	86
20160902	0	84
20160903	0	69
20160904	0	70
20160905	0.16	58
20160906	0	66
20160907	0	71
20160908	0	72
20160909	0	74
20160910	0	72
20160911	0	77
20160912	0	80
20160913	0.07	56
20160914	0.15	64
20160915	0	60
20160916	0	68
20160917	0	73
20160918	0	79
20160919	0	80
20160920	0	80
20160921	0	81
20160922	0.19	65
20160923	0.28	56
20160924	0.17	60
20160925	0.01	63
20160926	0	70
20160927	0	76
20160928	0	80
20160929	0	81
20160930	0	83
20161001	0.07	79
20161002	0	72
20161003	0	71
20161004	0	59
20161005	0	58
20161006	0	57
20161007	0	60
20161008	0	67
20161009	0	74
20161010	0	75
20161011	0	73
20161012	0	57
20161013	0	60
20161014	0	63
20161015	0.17	61
20161016	0	64
20161017	0.62	56
20161018	0	58
20161019	0.16	50
20161020	0	54
20161021	0	67
20161022	0	63
20161023	0	61
20161024	0	64
20161025	0	60
20161026	0	63
20161027	0	74
20161028	0.17	65
20161029	0.57	48
20161030	0.02	62
20161031	0.61	66
20161101	0	60
20161102	0	53
20161103	0	56
20161104	0	57
20161105	0	61
20161106	0	62
20161107	0	61
20161108	0	58
20161109	0	63
20161110	0	66
20161111	0	63
20161112	0	65
20161113	0	60
20161114	0	60
20161115	0	64
20161116	0.04	70
20161117	0	42
20161118	0	41
20161119	0	47
20161120	0	58
20161121	0	57
20161122	-9999	45
20161123	-9999	47
20161124	-9999	40
20161125	-9999	46
20161126	-9999	43
20161127	-9999	51
20161128	-9999	43
20161129	0	40
20161130	0	41
20161201	0	40
20161202	0	37
20161203	0	36
20161204	0	42
20161205	0.02	49
20161206	0	29
20161207	0	24
20161208	0	22
20170101	-9999	19
20170102	-9999	23
20170103	-9999	24
20170104	-9999	22
20170105	-9999	23
20170106	-9999	12
20170107	-9999	4
20170108	-9999	19
