Date Time,Abs Pres (kPa) c:1 2,Temp (°C) c:2,Sensor Depth (meters),Adjust,Depth(m)
4/8/18 8:00,85.77,21.091,-0.294,, 
4/8/18 8:15,86.096,23.869,-0.259,, 
4/8/18 8:30,86.755,25.319,-0.195,, 
4/8/18 8:45,86.951,26.097,-0.176,, 
4/8/18 9:00,86.841,25.319,-0.185,, 
4/8/18 9:15,87.708,24.545,-0.097,, 
4/8/18 9:30,88.792,23.869,0.013,,0.013
4/8/18 9:45,88.76,23.292,0.01,,0.01
4/8/18 10:00,88.42,22.908,-0.026,, 
4/8/18 10:15,88.771,22.717,0.008,,0.008
4/8/18 10:30,88.727,15.091,0,, 
4/8/18 10:45,88.724,11.625,0.001,,0.001
4/8/18 11:00,88.746,10.944,-0.001,, 
4/8/18 11:15,88.762,10.651,-0.003,, 
4/8/18 11:30,88.784,10.651,-0.002,, 
4/8/18 11:45,88.822,10.357,0.002,,0.002
4/8/18 12:00,88.823,10.455,0,, 
4/8/18 12:15,88.871,10.063,0.006,,0.006
4/8/18 12:30,88.888,10.455,0.006,,0.006
4/8/18 12:45,88.889,11.236,0.007,,0.007
4/8/18 13:00,88.894,11.528,0.008,,0.008
4/8/18 13:15,88.883,11.528,0.008,,0.008
4/8/18 13:30,88.899,11.139,0.009,,0.009
4/8/18 13:45,88.909,11.819,0.01,,0.01
4/8/18 14:00,88.894,12.207,0.011,,0.011
4/8/18 14:15,88.89,13.269,0.007,,0.007
4/8/18 14:30,88.918,14.996,0.01,,0.01
4/8/18 14:45,88.912,15.282,0.01,,0.01
4/8/18 15:00,88.916,16.141,0.01,,0.01
4/8/18 15:15,88.936,17.95,0.011,,0.011
4/8/18 15:30,88.912,17.189,0.009,,0.009
4/8/18 15:45,88.912,17.189,0.008,,0.008
4/8/18 16:00,88.903,15.378,0.005,,0.005
4/8/18 16:15,88.932,16.427,0.007,,0.007
4/8/18 16:30,88.96,18.14,0.009,,0.009
4/8/18 16:45,88.95,16.237,0.008,,0.008
4/8/18 17:00,88.947,16.713,0.009,,0.009
4/8/18 17:15,88.985,18.331,0.008,,0.008
4/8/18 17:30,89.011,18.616,0.009,,0.009
4/8/18 17:45,89.017,18.331,0.008,,0.008
4/8/18 18:00,89.019,18.426,0.008,,0.008
4/8/18 18:15,88.988,15.282,0.002,,0.002
4/8/18 18:30,88.997,12.594,0.001,,0.001
4/8/18 18:45,88.998,11.334,0,, 
4/8/18 19:00,89.018,10.553,0.002,,0.002
4/8/18 19:15,89.031,10.063,0.003,,0.003
4/8/18 19:30,89.034,9.571,0.001,,0.001
4/8/18 19:45,89.039,9.176,0,, 
4/8/18 20:00,89.054,8.779,-0.002,, 
4/8/18 20:15,89.057,8.282,-0.004,, 
4/8/18 20:30,89.063,7.983,-0.004,, 
4/8/18 20:45,89.08,7.682,-0.008,, 
4/8/18 21:00,89.109,7.481,-0.007,, 
4/8/18 21:15,89.127,7.28,-0.009,, 
4/8/18 21:30,89.145,7.079,-0.007,, 
4/8/18 21:45,89.183,6.775,-0.006,, 
