Date Time,Abs Pres (kPa),Temp (°C),Sensor Depth (meters),Adjust,Depth(m)
3/17/17 16:10,92.767,13.558,0.394,0,0.394
3/17/17 16:40,92.767,13.558,0.396,0,0.396
3/17/17 16:50,92.79,13.558,0.398,0,0.398
3/17/17 17:00,92.756,13.558,0.396,0,0.396
3/17/17 17:10,92.746,13.654,0.396,0,0.396
3/17/17 17:20,92.746,13.654,0.397,0,0.397
3/17/17 17:30,92.734,13.654,0.397,0,0.397
3/17/17 17:40,92.711,13.654,0.396,0,0.396
3/17/17 17:50,92.711,13.654,0.397,0,0.397
3/17/17 18:00,92.712,13.75,0.398,0,0.398
3/17/17 18:10,92.747,13.75,0.401,0,0.401
3/17/17 18:20,92.747,13.75,0.4,0,0.4
3/17/17 18:30,92.758,13.75,0.4,0,0.4
3/17/17 18:40,92.748,13.846,0.398,0,0.398
3/17/17 18:50,92.75,13.942,0.398,0,0.398
3/17/17 19:00,92.774,14.038,0.4,0,0.4
3/17/17 19:10,92.763,14.038,0.398,0,0.398
3/17/17 19:20,92.764,14.134,0.398,0,0.398
3/17/17 19:30,92.777,14.23,0.399,0,0.399
3/17/17 19:40,92.777,14.23,0.399,0,0.399
3/17/17 19:50,92.788,14.23,0.4,0,0.4
3/17/17 20:00,92.767,14.325,0.398,0,0.398
3/17/17 20:10,92.778,14.325,0.4,0,0.4
3/17/17 20:20,92.78,14.421,0.399,0,0.399
3/17/17 20:30,92.778,14.325,0.399,0,0.399
3/17/17 20:40,92.778,14.325,0.399,0,0.399
3/17/17 20:50,92.778,14.325,0.4,0,0.4
3/17/17 21:00,92.767,14.325,0.398,0,0.398
3/17/17 21:10,92.778,14.325,0.399,0,0.399
3/17/17 21:20,92.79,14.325,0.4,0,0.4
3/17/17 21:30,92.791,14.421,0.4,0,0.4
3/17/17 21:40,92.767,14.325,0.398,0,0.398
3/17/17 21:50,92.767,14.325,0.399,0,0.399
3/17/17 22:00,92.767,14.325,0.4,0,0.4
3/17/17 22:10,92.745,14.421,0.4,0,0.4
3/17/17 22:20,92.722,14.421,0.398,0,0.398
3/17/17 22:30,92.781,14.517,0.403,0,0.403
3/17/17 22:40,92.758,14.517,0.4,0,0.4
3/17/17 22:50,92.735,14.517,0.398,0,0.398
3/17/17 23:00,92.746,14.517,0.4,0,0.4
3/17/17 23:10,92.735,14.517,0.4,0,0.4
3/17/17 23:20,92.723,14.517,0.399,0,0.399
3/17/17 23:30,92.723,14.517,0.4,0,0.4
3/17/17 23:40,92.723,14.517,0.4,0,0.4
3/17/17 23:50,92.7,14.517,0.398,0,0.398
3/18/17 0:00,92.689,14.517,0.399,0,0.399
3/18/17 0:10,92.687,14.421,0.4,0,0.4
3/18/17 0:20,92.7,14.517,0.402,0,0.402
3/18/17 0:30,92.676,14.421,0.4,0,0.4
3/18/17 0:40,92.664,14.421,0.399,0,0.399
3/18/17 0:50,92.651,14.325,0.399,0,0.399
3/18/17 1:00,92.651,14.325,0.399,0,0.399
3/18/17 1:10,92.651,14.325,0.399,0,0.399
3/18/17 1:20,92.64,14.325,0.399,0,0.399
3/18/17 1:30,92.65,14.23,0.4,0,0.4
3/18/17 1:40,92.65,14.23,0.398,0,0.398
3/18/17 1:50,92.637,14.134,0.398,0,0.398
3/18/17 2:00,92.649,14.134,0.4,0,0.4
3/18/17 2:10,92.647,14.038,0.4,0,0.4
3/18/17 2:20,92.636,14.038,0.399,0,0.399
3/18/17 2:30,92.623,13.942,0.398,0,0.398
3/18/17 2:40,92.623,13.942,0.399,0,0.399
3/18/17 2:50,92.6,13.942,0.398,0,0.398
3/18/17 3:00,92.611,13.942,0.401,0,0.401
3/18/17 3:10,92.565,13.942,0.398,0,0.398
3/18/17 3:20,92.552,13.846,0.398,0,0.398
3/18/17 3:30,92.552,13.846,0.399,0,0.399
3/18/17 3:40,92.551,13.75,0.4,0,0.4
3/18/17 3:50,92.505,13.75,0.398,0,0.398
3/18/17 4:00,92.515,13.654,0.399,0,0.399
3/18/17 4:10,92.515,13.654,0.399,0,0.399
3/18/17 4:20,92.526,13.654,0.401,0,0.401
3/18/17 4:30,92.502,13.558,0.399,0,0.399
3/18/17 4:40,92.514,13.558,0.4,0,0.4
3/18/17 4:50,92.501,13.461,0.399,0,0.399
3/18/17 5:00,92.501,13.461,0.399,0,0.399
3/18/17 5:10,92.499,13.365,0.4,0,0.4
3/18/17 5:20,92.522,13.365,0.402,0,0.402
3/18/17 5:30,92.498,13.269,0.398,0,0.398
3/18/17 5:40,92.498,13.269,0.399,0,0.399
3/18/17 5:50,92.475,13.269,0.396,0,0.396
3/18/17 6:00,92.498,13.269,0.399,0,0.399
3/18/17 6:10,92.497,13.173,0.399,0,0.399
3/18/17 6:20,92.485,13.173,0.399,0,0.399
3/18/17 6:30,92.495,13.076,0.4,0,0.4
3/18/17 6:40,92.507,13.076,0.399,0,0.399
3/18/17 6:50,92.517,12.98,0.399,0,0.399
3/18/17 7:00,92.505,12.98,0.398,0,0.398
3/18/17 7:10,92.528,12.98,0.4,0,0.4
3/18/17 7:20,92.517,12.98,0.398,0,0.398
3/18/17 7:30,92.527,12.883,0.398,0,0.398
3/18/17 7:40,92.539,12.883,0.4,0,0.4
3/18/17 7:50,92.539,12.883,0.4,0,0.4
3/18/17 8:00,92.539,12.883,0.399,0,0.399
3/18/17 8:10,92.527,12.883,0.398,0,0.398
3/18/17 8:20,92.539,12.883,0.399,0,0.399
3/18/17 8:30,92.537,12.787,0.397,0,0.397
3/18/17 8:40,92.549,12.787,0.399,0,0.399
3/18/17 8:50,92.539,12.883,0.398,0,0.398
3/18/17 9:00,92.527,12.883,0.395,0,0.395
3/18/17 9:10,92.55,12.883,0.397,0,0.397
3/18/17 9:20,92.562,12.883,0.397,0,0.397
3/18/17 9:30,92.539,12.883,0.394,0,0.394
3/18/17 9:40,92.573,12.883,0.397,0,0.397
3/18/17 9:50,92.562,12.883,0.396,0,0.396
3/18/17 10:00,92.585,12.883,0.398,0,0.398
3/18/17 10:10,92.573,12.883,0.396,0,0.396
3/18/17 10:20,92.585,12.883,0.397,0,0.397
3/18/17 10:30,92.573,12.883,0.394,0,0.394
3/18/17 10:40,92.563,12.98,0.392,0,0.392
3/18/17 10:50,92.575,12.98,0.394,0,0.394
3/18/17 11:00,92.563,12.98,0.393,0,0.393
3/18/17 11:10,92.575,12.98,0.394,0,0.394
3/18/17 11:20,92.552,12.98,0.392,0,0.392
3/18/17 11:30,92.54,12.98,0.392,0,0.392
3/18/17 11:40,92.54,12.98,0.392,0,0.392
3/18/17 11:50,92.54,12.98,0.392,0,0.392
3/18/17 12:00,92.54,12.98,0.393,0,0.393
3/18/17 12:10,92.505,12.98,0.39,0,0.39
3/18/17 12:20,92.517,12.98,0.391,0,0.391
3/18/17 12:30,92.516,12.883,0.391,0,0.391
3/18/17 12:40,92.493,12.883,0.389,0,0.389
3/18/17 12:50,92.504,12.883,0.391,0,0.391
3/18/17 13:00,92.516,12.883,0.393,0,0.393
3/18/17 13:10,92.481,12.883,0.39,0,0.39
3/18/17 13:20,92.481,12.883,0.391,0,0.391
3/18/17 13:30,92.47,12.883,0.391,0,0.391
3/18/17 13:40,92.434,12.787,0.388,0,0.388
3/18/17 13:50,92.446,12.883,0.39,0,0.39
3/18/17 14:00,92.435,12.883,0.39,0,0.39
3/18/17 14:10,92.423,12.883,0.39,0,0.39
3/18/17 14:20,92.446,12.883,0.391,0,0.391
3/18/17 14:30,92.423,12.883,0.39,0,0.39
3/18/17 14:40,92.435,12.883,0.39,0,0.39
3/18/17 14:50,92.435,12.883,0.389,0,0.389
3/18/17 15:00,92.435,12.883,0.39,0,0.39
3/18/17 15:10,92.446,12.883,0.391,0,0.391
3/18/17 15:20,92.446,12.883,0.39,0,0.39
3/18/17 15:30,92.435,12.883,0.389,0,0.389
3/18/17 15:40,92.446,12.883,0.391,0,0.391
3/18/17 15:50,92.435,12.883,0.39,0,0.39
3/18/17 16:00,92.458,12.883,0.391,0,0.391
3/18/17 16:10,92.434,12.787,0.389,0,0.389
3/18/17 16:20,92.434,12.787,0.389,0,0.389
3/18/17 16:30,92.457,12.787,0.39,0,0.39
3/18/17 16:40,92.445,12.787,0.389,0,0.389
3/18/17 16:50,92.457,12.787,0.391,0,0.391
3/18/17 17:00,92.457,12.787,0.391,0,0.391
3/18/17 17:10,92.457,12.787,0.391,0,0.391
3/18/17 17:20,92.468,12.787,0.392,0,0.392
3/18/17 17:30,92.457,12.787,0.391,0,0.391
3/18/17 17:40,92.48,12.787,0.393,0,0.393
3/18/17 17:50,92.503,12.787,0.397,0,0.397
3/18/17 18:00,92.491,12.787,0.394,0,0.394
3/18/17 18:10,92.501,12.69,0.392,0,0.392
3/18/17 18:20,92.49,12.69,0.391,0,0.391
3/18/17 18:30,92.524,12.69,0.393,0,0.393
3/18/17 18:40,92.536,12.69,0.392,0,0.392
3/18/17 18:50,92.524,12.69,0.39,0,0.39
3/18/17 19:00,92.571,12.69,0.395,0,0.395
3/18/17 19:10,92.571,12.69,0.395,0,0.395
3/18/17 19:20,92.548,12.69,0.393,0,0.393
3/18/17 19:30,92.559,12.69,0.393,0,0.393
3/18/17 19:40,92.571,12.69,0.394,0,0.394
3/18/17 19:50,92.571,12.69,0.392,0,0.392
3/18/17 20:00,92.594,12.69,0.392,0,0.392
3/18/17 20:10,92.594,12.69,0.392,0,0.392
3/18/17 20:20,92.594,12.69,0.391,0,0.391
3/18/17 20:30,92.606,12.787,0.392,0,0.392
3/18/17 20:40,92.63,12.787,0.393,0,0.393
3/18/17 20:50,92.641,12.787,0.393,0,0.393
3/18/17 21:00,92.653,12.787,0.394,0,0.394
3/18/17 21:10,92.664,12.787,0.394,0,0.394
3/18/17 21:20,92.664,12.787,0.394,0,0.394
3/18/17 21:30,92.689,12.883,0.398,0,0.398
3/18/17 21:40,92.654,12.883,0.395,0,0.395
3/18/17 21:50,92.677,12.883,0.396,0,0.396
3/18/17 22:00,92.677,12.883,0.393,0,0.393
3/18/17 22:10,92.7,12.883,0.395,0,0.395
3/18/17 22:20,92.7,12.883,0.395,0,0.395
3/18/17 22:30,92.712,12.883,0.396,0,0.396
3/18/17 22:40,92.746,12.883,0.398,0,0.398
3/18/17 22:50,92.769,12.883,0.397,0,0.397
3/18/17 23:00,92.769,12.883,0.394,0,0.394
3/18/17 23:10,92.781,12.883,0.394,0,0.394
3/18/17 23:20,92.804,12.883,0.397,0,0.397
3/18/17 23:30,92.756,12.787,0.395,0,0.395
3/18/17 23:40,92.768,12.787,0.398,0,0.398
3/18/17 23:50,92.756,12.787,0.396,0,0.396
3/19/17 0:00,92.745,12.787,0.396,0,0.396
3/19/17 0:10,92.745,12.787,0.396,0,0.396
3/19/17 0:20,92.745,12.787,0.396,0,0.396
3/19/17 0:30,92.733,12.787,0.395,0,0.395
3/19/17 0:40,92.722,12.787,0.394,0,0.394
3/19/17 0:50,92.722,12.787,0.394,0,0.394
3/19/17 1:00,92.733,12.787,0.395,0,0.395
3/19/17 1:10,92.71,12.787,0.393,0,0.393
3/19/17 1:20,92.71,12.787,0.393,0,0.393
3/19/17 1:30,92.733,12.787,0.396,0,0.396
3/19/17 1:40,92.71,12.787,0.393,0,0.393
3/19/17 1:50,92.712,12.883,0.393,0,0.393
3/19/17 2:00,92.712,12.883,0.393,0,0.393
3/19/17 2:10,92.723,12.883,0.394,0,0.394
3/19/17 2:20,92.735,12.883,0.394,0,0.394
3/19/17 2:30,92.758,12.883,0.398,0,0.398
3/19/17 2:40,92.735,12.883,0.397,0,0.397
3/19/17 2:50,92.735,12.883,0.397,0,0.397
3/19/17 3:00,92.71,12.787,0.394,0,0.394
3/19/17 3:10,92.722,12.787,0.397,0,0.397
3/19/17 3:20,92.722,12.787,0.397,0,0.397
3/19/17 3:30,92.733,12.787,0.395,0,0.395
3/19/17 3:40,92.709,12.69,0.391,0,0.391
3/19/17 3:50,92.743,12.69,0.395,0,0.395
3/19/17 4:00,92.72,12.69,0.394,0,0.394
3/19/17 4:10,92.732,12.69,0.394,0,0.394
3/19/17 4:20,92.755,12.69,0.393,0,0.393
3/19/17 4:30,92.778,12.69,0.393,0,0.393
3/19/17 4:40,92.767,12.69,0.39,0,0.39
3/19/17 4:50,92.79,12.69,0.391,0,0.391
3/19/17 5:00,92.811,12.594,0.393,0,0.393
3/19/17 5:10,92.823,12.594,0.394,0,0.394
3/19/17 5:20,92.834,12.594,0.394,0,0.394
3/19/17 5:30,92.834,12.594,0.393,0,0.393
3/19/17 5:40,92.868,12.497,0.395,0,0.395
3/19/17 5:50,92.833,12.497,0.393,0,0.393
3/19/17 6:00,92.856,12.497,0.394,0,0.394
3/19/17 6:10,92.868,12.497,0.395,0,0.395
3/19/17 6:20,92.868,12.497,0.395,0,0.395
3/19/17 6:30,92.868,12.497,0.395,0,0.395
3/19/17 6:40,92.866,12.401,0.394,0,0.394
3/19/17 6:50,92.878,12.401,0.394,0,0.394
3/19/17 7:00,92.866,12.401,0.392,0,0.392
3/19/17 7:10,92.901,12.401,0.394,0,0.394
3/19/17 7:20,92.889,12.401,0.39,0,0.39
3/19/17 7:30,92.923,12.304,0.392,0,0.392
3/19/17 7:40,92.958,12.401,0.394,0,0.394
3/19/17 7:50,92.947,12.401,0.391,0,0.391
3/19/17 8:00,92.935,12.401,0.39,0,0.39
3/19/17 8:10,92.924,12.401,0.39,0,0.39
3/19/17 8:20,92.96,12.497,0.391,0,0.391
3/19/17 8:30,92.96,12.497,0.389,0,0.389
3/19/17 8:40,92.971,12.497,0.39,0,0.39
3/19/17 8:50,92.973,12.594,0.392,0,0.392
3/19/17 9:00,92.973,12.594,0.391,0,0.391
3/19/17 9:10,92.973,12.594,0.39,0,0.39
3/19/17 9:20,92.974,12.69,0.391,0,0.391
3/19/17 9:30,92.962,12.69,0.39,0,0.39
3/19/17 9:40,92.962,12.69,0.389,0,0.389
3/19/17 9:50,92.964,12.787,0.389,0,0.389
3/19/17 10:00,92.952,12.787,0.387,0,0.387
3/19/17 10:10,92.964,12.787,0.388,0,0.388
3/19/17 10:20,92.965,12.883,0.387,0,0.387
3/19/17 10:30,92.942,12.883,0.385,0,0.385
3/19/17 10:40,92.943,12.98,0.386,0,0.386
