Date Time	Abs Pres (kPa)	Temp (°C)	Sensor Depth (meters)	Adjust	Depth(m)
3/17/2017 16:30	153.319	13.365	6.569	0	6.569
3/17/2017 16:40	153.318	13.173	6.571	0	6.571
3/17/2017 16:50	153.318	13.173	6.57	0	6.57
3/17/2017 17:00	153.318	13.173	6.572	0	6.572
3/17/2017 17:10	153.318	13.173	6.573	0	6.573
3/17/2017 17:20	153.318	13.173	6.574	0	6.574
3/17/2017 17:30	153.318	13.173	6.575	0	6.575
3/17/2017 17:40	153.318	13.173	6.576	0	6.576
3/17/2017 17:50	153.318	13.173	6.577	0	6.577
3/17/2017 18:00	153.318	13.173	6.578	0	6.578
3/17/2017 18:10	153.318	13.173	6.578	0	6.578
3/17/2017 18:20	153.318	13.173	6.577	0	6.577
3/17/2017 18:30	153.318	13.173	6.575	0	6.575
3/17/2017 18:40	153.318	13.173	6.574	0	6.574
3/17/2017 18:50	153.318	13.173	6.574	0	6.574
3/17/2017 19:00	153.318	13.173	6.573	0	6.573
3/17/2017 19:10	153.318	13.173	6.573	0	6.573
3/17/2017 19:20	153.318	13.173	6.573	0	6.573
3/17/2017 19:30	153.318	13.173	6.573	0	6.573
3/17/2017 19:40	153.318	13.173	6.572	0	6.572
3/17/2017 19:50	153.318	13.173	6.572	0	6.572
3/17/2017 20:00	153.318	13.173	6.572	0	6.572
3/17/2017 20:10	153.318	13.173	6.573	0	6.573
3/17/2017 20:20	153.318	13.173	6.573	0	6.573
3/17/2017 20:30	153.318	13.173	6.572	0	6.572
3/17/2017 20:40	153.318	13.173	6.573	0	6.573
3/17/2017 20:50	153.318	13.173	6.573	0	6.573
3/17/2017 21:00	153.318	13.173	6.573	0	6.573
3/17/2017 21:10	153.318	13.173	6.572	0	6.572
3/17/2017 21:20	153.318	13.173	6.572	0	6.572
3/17/2017 21:30	153.318	13.173	6.572	0	6.572
3/17/2017 21:40	153.318	13.173	6.572	0	6.572
3/17/2017 21:50	153.318	13.173	6.574	0	6.574
3/17/2017 22:00	153.318	13.173	6.574	0	6.574
3/17/2017 22:10	153.318	13.173	6.576	0	6.576
3/17/2017 22:20	153.318	13.173	6.577	0	6.577
3/17/2017 22:30	153.318	13.173	6.576	0	6.576
3/17/2017 22:40	153.318	13.173	6.575	0	6.575
3/17/2017 22:50	153.318	13.173	6.576	0	6.576
3/17/2017 23:00	153.318	13.173	6.577	0	6.577
3/17/2017 23:10	153.318	13.173	6.577	0	6.577
3/17/2017 23:20	153.318	13.173	6.578	0	6.578
3/17/2017 23:30	153.318	13.173	6.579	0	6.579
3/17/2017 23:40	153.318	13.173	6.579	0	6.579
3/17/2017 23:50	153.318	13.173	6.58	0	6.58
3/18/2017 0:00	153.318	13.173	6.582	0	6.582
3/18/2017 0:10	153.318	13.173	6.583	0	6.583
3/18/2017 0:20	153.318	13.173	6.583	0	6.583
3/18/2017 0:30	153.318	13.173	6.584	0	6.584
3/18/2017 0:40	153.318	13.173	6.584	0	6.584
3/18/2017 0:50	153.318	13.173	6.585	0	6.585
3/18/2017 1:00	153.318	13.173	6.585	0	6.585
3/18/2017 1:10	153.318	13.173	6.585	0	6.585
3/18/2017 1:20	153.318	13.173	6.587	0	6.587
3/18/2017 1:30	153.318	13.173	6.586	0	6.586
3/18/2017 1:40	153.318	13.173	6.585	0	6.585
3/18/2017 1:50	153.318	13.173	6.585	0	6.585
3/18/2017 2:00	153.318	13.173	6.587	0	6.587
3/18/2017 2:10	153.318	13.173	6.587	0	6.587
3/18/2017 2:20	153.318	13.173	6.587	0	6.587
3/18/2017 2:30	153.318	13.173	6.587	0	6.587
3/18/2017 2:40	153.318	13.173	6.588	0	6.588
3/18/2017 2:50	153.318	13.173	6.59	0	6.59
3/18/2017 3:00	153.318	13.173	6.591	0	6.591
3/18/2017 3:10	153.318	13.173	6.593	0	6.593
3/18/2017 3:20	153.318	13.173	6.594	0	6.594
3/18/2017 3:30	153.318	13.173	6.595	0	6.595
